City,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Windspeed (mph),Country,Date
Jamestown,42.097,-79.2353,78.85,47,1,8.05,US,1627341823
Ushuaia,-54.8,-68.3,35.26,80,75,9.22,AR,1627341822
Kapaa,22.0752,-159.319,84.52,77,75,5.01,US,1627341742
Cape Town,-33.9258,18.4232,58.08,60,0,1.01,ZA,1627341739
Avarua,-21.2078,-159.775,78.85,73,40,9.22,CK,1627341491
Juneau,58.3019,-134.4197,64.45,77,75,10.36,US,1627341920
Rikitea,-23.1203,-134.9692,74.35,77,77,18.66,PF,1627341758
Iqaluit,63.7506,-68.5145,49.73,81,75,2.3,CA,1627341857
Upernavik,72.7868,-56.1549,44.15,81,100,4.9,GL,1627341687
Vaini,-21.2,-175.2,77.16,88,75,9.22,TO,1627341762
Ambilobe,-13.2,49.05,70.23,64,96,3.74,MG,1627341921
Puerto Ayora,-0.7393,-90.3518,72.55,83,46,8.01,EC,1627341832
Butaritari,3.0707,172.7902,82.26,75,78,7.87,KI,1627341824
Tabas,33.5959,56.9244,90.79,22,0,18.48,IR,1627341910
Atuona,-9.8,-139.0333,77.79,67,50,23.35,PF,1627341758
Kiunga,-6.1219,141.2906,72.72,97,100,1.61,PG,1627341851
Hobart,-42.8794,147.3294,54.27,82,75,1.99,AU,1627341703
Constantine,36.365,6.6147,74.61,46,40,1.14,DZ,1627341773
Lagoa,39.05,-27.9833,70.74,89,83,7.65,PT,1627341887
Hasaki,35.7333,140.8333,73.69,91,100,16.24,JP,1627341620
Tasiilaq,65.6145,-37.6368,48.36,89,52,4.07,GL,1627341849
Muros,42.7762,-9.0603,64.24,82,53,6.44,ES,1627341619
Slave Lake,55.2834,-114.769,69.78,60,1,5.75,CA,1627341922
Hare Bay,48.8499,-54.0148,69.19,73,53,8.7,CA,1627341923
Mahébourg,-20.4081,57.7,68.29,94,75,17.27,MU,1627341763
Venice of the Philippines,4.6628,119.3928,84.65,77,81,15.75,PH,1627341923
Cabo San Lucas,22.8909,-109.9124,94.8,66,1,12.66,MX,1627341839
Mūl,20.0667,79.6667,77.49,83,100,10.16,IN,1627341923
Zhigansk,66.7697,123.3711,55.72,67,24,16.71,RU,1627341924
Xining,36.6167,101.7667,54.1,87,85,2.66,CN,1627341924
Skjervøy,70.0311,20.9714,50.34,94,14,3.31,NO,1627341924
Caconda,-13.7333,15.0667,54.91,34,19,4.36,AO,1627341924
Bengkulu,-3.8004,102.2655,73.62,76,3,4.79,ID,1627341852
Nemuro,43.3236,145.575,60.37,99,100,14.94,JP,1627341925
Albany,42.6001,-73.9662,82.63,53,0,8.97,US,1627341825
Broken Hill,-31.95,141.4333,56.91,41,7,18.41,AU,1627341925
Tuktoyaktuk,69.4541,-133.0374,51.8,71,90,3.44,CA,1627341745
Pisco,-13.7,-76.2167,66.25,77,0,16.11,PE,1627341817
New Norfolk,-42.7826,147.0587,53.92,82,100,3.98,AU,1627341857
Dobrinka,52.1653,40.4731,63.63,56,68,4.79,RU,1627341926
East London,-33.0153,27.9116,63.64,26,100,11.9,ZA,1627341721
Beloha,-25.1667,45.05,61.5,67,60,11.74,MG,1627341845
Mossamedes,-15.1961,12.1522,65.91,80,0,1.66,AO,1627341926
Busselton,-33.65,115.3333,49.08,58,99,33.2,AU,1627341757
Saint Paul Harbor,57.79,-152.4072,62.11,59,90,5.75,US,1627341764
Chui,-33.6971,-53.4616,48.18,82,62,9.73,UY,1627341758
Puerto Madryn,-42.7692,-65.0385,43.18,59,98,26.96,AR,1627341851
Biak,-0.9131,122.8766,73.92,76,78,5.08,ID,1627341927
Mar del Plata,-38.0023,-57.5575,43.0,66,40,5.01,AR,1627341714
Río Gallegos,-51.6226,-69.2181,39.25,81,90,8.05,AR,1627341824
Hong Kong,22.2855,114.1577,90.21,85,94,1.01,HK,1627341638
San Jerónimo,-11.9472,-75.2829,53.42,57,29,7.49,PE,1627341927
Ilulissat,69.2167,-51.1,55.42,54,20,29.93,GL,1627341673
Hermanus,-34.4187,19.2345,56.84,61,28,6.53,ZA,1627341669
Meulaboh,4.1363,96.1285,76.39,89,54,5.32,ID,1627341881
Torbay,47.6666,-52.7314,60.67,82,75,8.05,CA,1627341867
Klaksvík,62.2266,-6.589,50.92,99,100,7.31,FO,1627341930
Hilo,19.7297,-155.09,76.73,91,90,6.91,US,1627341844
Bluff,-46.6,168.3333,48.79,76,29,19.57,NZ,1627341841
Hithadhoo,-0.6,73.0833,80.19,78,96,8.52,MV,1627341825
Port Hedland,-20.3167,118.5667,59.05,100,66,5.75,AU,1627341916
Mataura,-46.1927,168.8643,48.47,89,39,3.98,NZ,1627341688
Maningrida,-12.0667,134.2667,71.1,73,73,8.01,AU,1627341930
Dwārka,22.2394,68.9678,82.36,84,100,20.94,IN,1627341793
Sechura,-5.5569,-80.8222,72.54,68,8,18.77,PE,1627341792
Gilgit,35.9221,74.3087,87.89,50,8,2.59,PK,1627341931
Bethel,41.3712,-73.414,84.92,72,1,4.61,US,1627341830
Nong Khae,14.3406,100.8673,78.75,88,93,5.75,TH,1627341931
Kasiri,8.9412,-13.1148,75.47,93,87,6.55,SL,1627341932
San Patricio,28.017,-97.5169,93.88,42,5,11.88,US,1627341685
Flinders,-34.5833,150.8552,64.06,64,79,4.0,AU,1627341900
Hualmay,-11.0964,-77.6139,64.87,82,28,11.05,PE,1627341932
Provideniya,64.3833,-173.3,50.11,81,90,4.47,RU,1627341718
Mayo,38.8876,-76.5119,88.09,72,20,6.91,US,1627341896
Urdoma,61.7533,48.5442,42.62,96,22,5.66,RU,1627341933
Clyde River,70.4692,-68.5914,39.43,93,90,3.44,CA,1627341887
Ternate,0.8,127.4,81.39,80,86,9.64,ID,1627341933
Port Elizabeth,-33.918,25.5701,69.1,26,0,13.8,ZA,1627341820
Marsh Harbour,26.5412,-77.0636,83.73,72,7,11.45,BS,1627341900
Olafsvik,64.8945,-23.7142,49.86,85,100,11.05,IS,1627341820
Ürümqi,43.801,87.6005,79.75,23,0,11.18,CN,1627341847
Punta Arenas,-53.15,-70.9167,42.91,75,0,8.05,CL,1627341755
Dunedin,-45.8742,170.5036,49.01,68,79,8.88,NZ,1627341674
Isfana,39.8386,69.5306,72.16,38,0,2.91,KG,1627341934
São José do Rio Pardo,-21.5956,-46.8886,61.36,36,0,5.17,BR,1627341934
Ponta do Sol,32.6667,-17.1,74.03,79,6,7.96,PT,1627341833
George Town,5.4112,100.3354,82.89,88,20,0.0,MY,1627341893
Wenling,28.3669,121.36,79.92,93,100,9.51,CN,1627341935
Yellowknife,62.456,-114.3525,68.52,60,40,16.11,CA,1627341829
Khatanga,71.9667,102.5,60.26,65,59,17.38,RU,1627341745
Zemio,5.0314,25.1361,69.1,99,100,4.52,CF,1627341935
Poum,-20.2333,164.0167,70.79,69,100,8.97,NC,1627341677
Narsaq,60.9167,-46.05,55.62,72,20,1.79,GL,1627341619
Ola,59.5833,151.2833,56.08,91,100,3.38,RU,1627341855
Burlington,39.8835,-74.6413,91.11,61,1,5.75,US,1627341614
Palmer,42.1584,-72.3287,83.32,57,35,6.67,US,1627341936
Chokurdakh,70.6333,147.9167,43.79,69,96,12.33,RU,1627341751
Wanning,18.8003,110.3967,80.58,87,76,7.2,CN,1627341936
Shingū,33.7333,135.9833,83.39,66,61,4.14,JP,1627341922
Cherskiy,68.75,161.3,52.47,51,6,16.69,RU,1627341848
Casablanca,33.5928,-7.6192,71.82,73,54,18.01,MA,1627341936
Fortuna,40.5982,-124.1573,97.48,80,1,14.97,US,1627341839
High Level,58.5169,-117.136,75.31,41,75,4.61,CA,1627341698
Narrabri,-30.3167,149.7833,52.52,80,8,4.27,AU,1627341825
Jocón,15.2833,-86.9667,80.15,88,49,2.98,HN,1627341937
Bay Roberts,47.5999,-53.2648,61.43,83,15,3.0,CA,1627341937
Olinda,-8.0089,-34.8553,71.33,88,40,4.61,BR,1627341900
Ondarroa,43.3167,-2.4167,64.8,90,33,3.22,ES,1627341938
Sekoma,-24.4,23.8833,43.32,48,0,9.8,BW,1627341938
Novy Urengoy,66.0833,76.6333,48.6,92,100,15.52,RU,1627341938
Severo-Kuril'sk,50.6789,156.125,59.58,89,100,6.02,RU,1627341554
Baruun-Urt,46.6806,113.2792,59.99,74,96,3.18,MN,1627341927
Tuatapere,-46.1333,167.6833,48.81,85,74,4.97,NZ,1627341857
Valparaíso,-33.0393,-71.6273,56.84,77,0,9.22,CL,1627341932
Taoudenni,22.6783,-3.9836,101.35,8,0,9.55,ML,1627341655
Falam,22.9167,93.6833,64.63,99,100,1.34,MM,1627341939
Alofi,-19.0595,-169.9187,80.49,74,40,3.44,NU,1627341924
Takaka,-40.85,172.8,54.37,68,55,7.76,NZ,1627341939
Banda Aceh,5.5577,95.3222,79.61,84,74,12.08,ID,1627341643
Saskylakh,71.9167,114.0833,52.61,71,64,5.61,RU,1627341706
Codrington,-38.2667,141.9667,48.92,70,20,17.74,AU,1627341940
Saint George,37.1041,-113.5841,90.03,43,50,11.54,US,1627341844
Souillac,-20.5167,57.5167,68.38,94,75,17.27,MU,1627341940
Bambous Virieux,-20.3428,57.7575,68.25,94,75,17.27,MU,1627341691
Moerai,-22.4333,-151.3333,75.42,84,87,14.29,PF,1627341791
Mana,5.6592,-53.7767,78.39,84,31,6.53,GF,1627341941
Bredasdorp,-34.5322,20.0403,52.92,62,84,4.61,ZA,1627341687
Saint-Pierre,-21.3393,55.4781,64.04,88,75,5.75,RE,1627341672
Saldanha,-33.0117,17.9442,55.45,83,26,9.55,ZA,1627341839
Atambua,-9.1061,124.8925,70.88,77,36,3.29,ID,1627341895
Marawi,7.9986,124.2928,73.65,82,100,5.48,PH,1627341700
At-Bashi,41.1702,75.8106,60.06,48,20,1.21,KG,1627341898
Marsá Maţrūḩ,31.3525,27.2453,77.2,73,40,11.5,EG,1627341630
Bambanglipuro,-7.95,110.2833,70.93,91,12,4.32,ID,1627341693
Thompson,55.7435,-97.8558,71.76,33,40,5.75,CA,1627341710
Arraial do Cabo,-22.9661,-42.0278,71.56,78,0,13.8,BR,1627341745
Neuquén,-38.9516,-68.0591,48.09,40,0,5.75,AR,1627341942
Tiksi,71.6872,128.8694,38.75,87,69,9.89,RU,1627341827
Pevek,69.7008,170.3133,36.64,88,89,15.66,RU,1627341862
Sakakah,29.9697,40.2064,96.37,23,6,6.64,SA,1627341942
Portland,45.5234,-122.6762,92.64,41,20,3.0,US,1627341173
Nanortalik,60.1432,-45.2371,49.55,76,37,4.83,GL,1627341727
Norman Wells,65.282,-126.8329,64.44,55,90,11.5,CA,1627341899
Dikson,73.5069,80.5464,37.99,100,100,4.61,RU,1627341670
Reitz,-27.8014,28.4273,38.93,35,26,4.45,ZA,1627341943
Ondangwa,-17.9167,15.95,51.8,50,0,4.61,NA,1627341944
Loandjili,-4.7561,11.8578,71.71,94,20,0.0,CG,1627341944
